t,Cx,Cz
0,-1.38102e-16,1
1,5.13933e-17,0.999998
2,1.63172e-17,0.999992
3,-1.0842e-17,0.999981
4,9.15829e-17,0.999967
5,-1.17094e-17,0.999948
6,8.44873e-17,0.999926
7,8.6089e-17,0.999899
8,2.47198e-17,0.999868
9,4.98235e-18,0.999832
10,8.58688e-17,0.999793
11,7.82523e-17,0.99975
12,2.51091e-17,0.999702
13,-1.12323e-16,0.999651
14,4.56907e-17,0.999595
15,8.45678e-18,0.999535
16,1.99493e-17,0.999471
17,2.90251e-17,0.999402
18,-7.71952e-17,0.99933
19,6.81451e-17,0.999254
20,9.6765e-17,0.999173
21,4.16334e-17,0.999088
22,3.47808e-17,0.998999
23,3.1225e-17,0.998906
24,7.20588e-17,0.998809
25,7.74019e-17,0.998708
26,1.73472e-18,0.998603
27,3.59549e-18,0.998493
28,-1.64799e-17,0.99838
29,5.42101e-18,0.998262
30,3.9732e-17,0.99814
31,-1.09938e-16,0.998014
32,4.9796e-18,0.997884
33,8.67362e-18,0.99775
34,8.67362e-19,0.997612
35,7.81854e-17,0.997469
36,-2.60209e-17,0.997323
37,5.78456e-17,0.997172
38,6.13929e-17,0.997018
39,9.71445e-17,0.996859
40,3.04821e-17,0.996696
41,2.08167e-17,0.996529
42,7.17742e-17,0.996358
43,5.72052e-17,0.996182
44,-7.45931e-17,0.996003
45,4.78218e-17,0.99582
46,1.38778e-17,0.995632
47,-2.94903e-17,0.995441
48,8.16403e-17,0.995245
49,-1.63064e-16,0.995045
50,5.75207e-17,0.994842
51,6.67869e-17,0.994634
52,5.55112e-17,0.994422
53,8.20374e-17,0.994206
54,1.04083e-17,0.993986
55,7.57315e-17,0.993761
56,6.85893e-17,0.993533
57,2.42861e-17,0.993301
58,6.27843e-18,0.993064
59,2.42861e-17,0.992824
60,1.0842e-17,0.992579
61,5.52901e-18,0.992331
62,-1.18829e-16,0.992078
63,-1.62782e-17,0.991822
64,3.90313e-17,0.991561
65,1.04083e-17,0.991296
66,8.72978e-17,0.991027
67,-7.97973e-17,0.990755
68,5.28413e-17,0.990478
69,6.66784e-17,0.990197
70,8.32667e-17,0.989912
71,2.72344e-17,0.989623
72,3.46945e-17,0.98933
73,8.43509e-17,0.989033
74,5.46844e-18,0.988732
75,-4.85723e-17,0.988427
76,1.07167e-17,0.988118
77,0,0.987805
78,1.38778e-17,0.987488
79,8.20218e-17,0.987167
80,-1.17961e-16,0.986842
81,2.7e-17,0.986513
82,4.03323e-17,0.98618
83,4.16334e-17,0.985844
84,1.02579e-16,0.985503
85,-1.38778e-17,0.985158
86,7.05816e-17,0.984809
87,6.75458e-17,0.984456
88,2.08167e-17,0.984099
89,-2.00422e-18,0.983739
90,-6.93889e-18,0.983374
91,2.73219e-17,0.983005
92,5.33936e-17,0.982633
93,-1.09288e-16,0.982256
94,-2.90439e-17,0.981876
95,5.0307e-17,0.981491
96,1.9082e-17,0.981103
97,9.17824e-17,0.980711
98,-5.89806e-17,0.980314
99,4.45472e-17,0.979914
100,8.21825e-17,0.97951
101,1.04083e-16,0.979102
102,8.64386e-17,0.978691
103,-6.93889e-18,0.978275
104,7.95804e-17,0.977855
105,6.04443e-17,0.977432
106,-8.32667e-17,0.977004
107,-6.8909e-17,0.976573
108,-6.93889e-18,0.976138
109,-1.9082e-17,0.975699
110,3.78099e-17,0.975256
111,-1.34441e-16,0.974809
112,6.15962e-18,0.974359
113,5.55112e-17,0.973904
114,5.20417e-17,0.973446
115,1.67056e-16,0.972984
116,-1.38778e-17,0.972518
117,5.86011e-17,0.972048
118,8.78204e-17,0.971574
119,6.93889e-17,0.971097
120,6.12346e-17,0.970616
121,6.93889e-18,0.970131
122,3.38271e-17,0.969642
123,4.58075e-18,0.969149
124,-9.36751e-17,0.968653
125,-1.01576e-17,0.968152
126,3.29597e-17,0.967648
127,1.73472e-17,0.967141
128,1.92387e-16,0.966629
129,-6.59195e-17,0.966114
130,4.84096e-17,0.965595
131,9.02056e-17,0.965072
132,8.32667e-17,0.964545
133,1.03947e-16,0.964015
134,4.16334e-17,0.963481
135,6.93889e-17,0.962943
136,4.55907e-17,0.962401
137,-6.93889e-18,0.961856
138,-6.06772e-18,0.961307
139,1.38778e-17,0.960755
140,-2.60209e-17,0.960198
141,6.2572e-17,0.959638
142,-1.38944e-16,0.959074
143,5.33631e-17,0.958507
144,6.59195e-17,0.957936
145,8.32667e-17,0.957361
146,1.60319e-16,0.956783
147,-4.85723e-17,0.956201
148,3.89229e-17,0.955615
