M,N,U_over_J,fc,rho_far,sigma
11,11,0,1,1,0.953463
11,11,1,0.935471,0.899477,0.79184
11,11,2,0.865635,0.804277,0.71612
11,11,3,0.791106,0.708056,0.65409
11,11,4,0.698193,0.588393,0.59185
11,11,5,0.575846,0.428016,0.522559
11,11,6,0.447889,0.263094,0.45211
11,11,7,0.351227,0.147741,0.392247
11,11,8,0.288665,0.0827215,0.345252
11,11,9,0.248312,0.0478819,0.308219
11,11,10,0.221023,0.0288705,0.278351
11,11,11,0.20159,0.0181031,0.253734
11,11,12,0.187128,0.011759,0.233087
11,11,13,0.175972,0.00788013,0.215521
11,11,14,0.167117,0.00542784,0.200396
11,11,15,0.159923,0.00383047,0.187239
11,11,16,0.153964,0.00276192,0.175692
11,11,17,0.148949,0.00202993,0.165478
11,11,18,0.14467,0.0015177,0.156379
11,11,19,0.140978,0.00115232,0.148224
11,11,20,0.137759,0.000887151,0.140874
